Name of product,Product type,Price (R$)
"Placa Mãe MSI A520M-A PRO, AMD AM4, mATX, DDR4",motherboard,379.99
"Placa Mãe Gigabyte B550M Aorus Elite, AMD AM4, Micro ATX, DDR4",motherboard,849.99
"Placa Mãe MSI B560M PRO-E, Intel LGA 1200, mATX, DDR4",motherboard,479.99
"Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4",motherboard,659.99
"Placa Mãe Asus TUF GAMING A520M-PLUS II, AMD AM4, mATX, DDR4",motherboard,599.99
"Placa Mãe ASRock B450M-HDV R4.0, AMD AM4, Micro ATX, DDR4",motherboard,359.99
"Placa-Mãe MSI MPG B550 Gaming Plus, AMD AM4, ATX",motherboard,999.99
"Placa Mãe Gigabyte B450M DS3H V2, AMD B450, mATX, DDR4, (rev. 1.0)",motherboard,529.99
"Placa Mãe Gigabyte H610M (rev. 1.0), Intel LGA1700, H610, DDR4, mATX - H610M H DDR4",motherboard,529.99
"Placa-Mãe Asus TUF Gaming B450M-Plus II, AMD AM4, mATX, DDR4",motherboard,649.99
"Processador AMD Ryzen 7 5700X3D, 3.6 GHz, (4.1GHz Max Turbo), Cachê 4MB, 8 Núcleos, 16 Threads, AM4 - 100-100001503WOF",cpu,1349.99
"Processador AMD Ryzen 5 4600G, 3.7GHz (4.2GHz Max Turbo), Cache 11MB, AM4, Vídeo Integrado - 100-100000147BOX",cpu,579.99
"Processador AMD Ryzen 5 5600, 3.5GHz (4.4GHz Max Turbo), Cache 35MB, AM4, Sem Vídeo - 100-100000927BOX",cpu,849.99
"Processador AMD Ryzen 5 5500, 3.6GHz (4.2GHz Max Turbo), Cache 19MB, AM4, Sem Vídeo - 100-100000457BOX",cpu,648.99
"Processador AMD Ryzen 5 5600GT, 3.6 GHz, (4.6GHz Max Turbo), Cachê 4MB, 6 Núcleos, 12 Threads, AM4 - 100-100001488BOX",cpu,796.99
"Processador Intel Core i5-10400F, 2.9GHz (4.3GHz Max Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA 1200 - BX8070110400F",cpu,524.99
"Processador AMD Ryzen 5 4500, 3.6GHz (4.1GHz Max Turbo) Cache 11MB, AM4, Sem Vídeo - 100-100000644BOX",cpu,448.99
"Processador AMD Ryzen 7 5700X, 3.4GHz (4.6GHz Max Turbo), Cache 36MB, AM4, Sem Vídeo - 100-100000926WOF",cpu,2070.26
"Processador Intel Core i5-12400F, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400F",cpu,775.99
